num,FSDB,moTagL,moTagR,tState,brand,moPITTag,season,moDay,moMn,moYear,moAge,arrivalDate,sex,pupBM,day,month,year,event
1197,F15411,W9265,W9265,++,,0419D26934,2020,,,2013,6,03/12/2019,F,5.8,3,12,2019,2
1197,F15411,W9265,W9265,++,,0419D26934,2021,,,2013,7,29/11/2020,F,4.8,30,11,2020,4
1197,F15411,W9265,W9265,++,,0419D26934,2022,,,2013,8,22/12/2021,,,,,2021,5
1197,F15411,W9265-TH,W9265,-+,,0419D26934,2023,,,2013,9,27/11/2022,F,5.45,29,11,2022,2
1197,F15411,W9265-TH,W9265,-+,,0419D26934,2024,,,2013,10,26/11/2023,F,5.35,28,11,2023,4
1197,F15411,W9265-TH,W9265,-+,,0419D26934,2025,,,2013,11,01/12/2024,M,6.4,2,12,2024,3
1198,F15414,W9266,W9266,++,,0419D26D98,2020,,,2011,8,,M,6.3,5,12,2019,2
1199,F15415,W9264,W9264,++,,0419D292AF,2020,,,2011,8,,F,4.2,6,12,2019,2
1199,F15415,W9264,W9264,++,,0419D292AF,2021,,,2011,9,07/12/2020,F,3.45,8,12,2020,3
1199,F15415,W9264-TH,W9264,-+,,0419D292AF,2022,,,2011,10,13/12/2021,F,4.05,15,12,2021,2
1199,F15415,W9264-TH,W9264,-+,,0419D292AF,2023,,,2011,11,10/12/2022,M,4.45,12,12,2022,2
1199,F15415,W9264-TH,W9264-TH,--,,0419D292AF,2024,,,2011,12,05/12/2023,,,,,2023,4
1199,F15415,W9264-TH,W9264-TH,--,,0419D292AF,2025,,,2011,13,23/12/2024,,,,,2024,5
1200,F15418,W9268,W9268,++,,04186910CD,2020,,,,,06/12/2019,F,5.3,8,12,2019,2
1201,F15420,W9269,W9269,++,,0419D25000,2020,,,,,11/12/2019,M,4.9,12,12,2019,2
1201,F15420,W9269,W9269,++,,0419D25000,2021,,,,,07/12/2020,M,5.5,8,12,2020,2
1201,F15420,W9269,W9269,++,,0419D25000,2022,,,,,08/12/2021,F,4.1,9,12,2021,2
1201,F15420,W9269,W9269-TH,+-,,0419D25000,2023,,,,,07/12/2022,M,6.1,9,12,2022,2
1201,F15420,W9269,W9269-TH,+-,,0419D25000,2024,,,,,21/12/2023,,,22,12,2023,4
1201,F15420,W9269,W9269-TH,+-,,0419D25000,2025,,,,,08/12/2024,F,4.9,10,12,2024,4
1202,F15426,W9270,W9270,++,,0419D24F14,2020,,,,,14/12/2019,M,4.6,16,12,2019,3
1202,F15426,W9270,W9270,++,,0419D24F14,2021,,,,,29/12/2020,,,,,2020,5
